"@timestamp",message,hostname
"Aug 13, 2025 @ 15:49:37.494","Skipping BG18073 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.495","Running motor:  0.0, 11.0, 22.0...","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.495","Performing 'pre-slide' actions.","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.495","Request to perform action:  'zero'...","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.495","Driving kicker to location:  <WingSide.R2: 1>, 12...","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.496","Completed handling kick request ready on chute #12","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.496","reason for wakeup: Noticed completion of handle_kick_ready_request","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.496","Running motor:  0.0, 3.3, 4.022...","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.496","Request to perform action:  'zero'...","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.497","Waiting for next wakeup from reducer or completion of one of outstanding actions: [<MergeActionName.AWAIT_MERGE_ITEMS: 'await merge items'>]","transport-b-r2-5c5958d649-2gv6m"
"Aug 13, 2025 @ 15:49:37.497","Setting position mode.","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.503","Setting position mode.","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.515","Setting requested position to:  0.0","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.516","Motor has reached position:  0.0","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.519","Setting requested position to:  0.0","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.522","New state:  RUNNING","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.522","New state:  RUNNING","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.522","Motor has reached position:  0.0","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.523","New state:  IDLING","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.523","Request to perform action:  'prekick', position_override=7.553...","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.523","New state:  IDLING","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.523","Running motor:  7.553, 3.91, 5.85...","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.529","Setting position mode.","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.549","Relative encoder offset applied:  7.553 -> 7.5022","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.559","Setting requested position to:  7.5022","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.656","Exception while indexing singulation conveyor: Trying to index before previous index has completed
Traceback (most recent call last):
  File ""/opt/bg/deps/build/breakpack_singulation_conveyor/breakpack_singulation_conveyor/singulation_conveyor_application.py"", line 575, in _index
    _, advance_future = self._conveyor_driver.advance()
  File ""/opt/bg/deps/build/interroll_multicontrol/interroll_multicontrol/control_programs/highway_loop.py"", line 233, in advance
    raise ValueError(""Trying to index before previous index has completed"")
ValueError: Trying to index before previous index has completed","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:37.657","reason for wakeup: Noticed completion of index (zone 0) - (IndexCommandState(index_zone=0, index_state=<IndexState.MOTION_STARTED: 3>))","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:37.657","Completed conveyor index request: duration - 1.0","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:37.657","Processing request to index for index_zone: (0).","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:37.658","Waiting for next wakeup from reducer or completion of one of outstanding actions: ['index (zone 0) - (IndexCommandState(index_zone=0, index_state=<IndexState.MOTION_STARTED: 3>))', 'await items']","singulation-conveyor-cd76fcc68-h5vhk"
